new double[] { 0.88, 0.01, 0.55, 1.53, -6.47, 0, -5.86, -6.45, 21.68, 46 },
new double[] { 0.88, 0.01, 0.52, 2.75, -7.02, 0.55, -6.15, -5.57, 22.27, 42 },
new double[] { 0.89, 0.01, 0.51, 0.55, -6.16, -0.49, -4.98, -5.57, 22.27, 60 },
new double[] { 0.89, 0.02, 0.52, 4.58, -26.61, 1.89, -6.3, -5.71, 22.41, 49 },
new double[] { 0.9, 0.01, 0.49, 0.31, -3.85, -0.55, -7.76, -4.54, 22.71, 47 },
new double[] { 0.91, 0.01, 0.48, 1.04, -0.61, -0.49, -6.3, -4.54, 23, 51 },
new double[] { 0.91, 0.01, 0.46, 0, -8.18, -0.73, -6.88, -5.71, 22.12, 47 },
new double[] { 0.91, 0.01, 0.48, -0.79, -2.69, -1.59, -5.86, -5.57, 22.27, 56 },
new double[] { 0.91, 0.01, 0.49, 0.12, -0.12, -1.04, -7.47, -5.42, 21.83, 49 },
new double[] { 0.91, 0.01, 0.48, 2.14, -17.15, 0.61, -7.76, -5.71, 23.29, 37 },
new double[] { 0.92, 0.01, 0.46, -2.69, 1.16, -1.95, -6.88, -6.3, 23.29, 60 },
new double[] { 0.91, 0.02, 0.48, 1.83, -5, -0.12, -6.88, -6.59, 23, 48 },
new double[] { 0.92, 0.01, 0.46, 2.01, -3.11, -0.06, -8.5, -4.98, 24.02, 47 },
new double[] { 0.92, 0.01, 0.48, -1.71, -4.21, -1.77, -8.06, -5.42, 23.29, 53 },
new double[] { 0.92, 0, 0.44, 1.46, -9.22, -0.61, -7.91, -4.98, 22.56, 47 },
new double[] { 0.92, 0.01, 0.45, -0.92, -1.83, -1.28, -8.5, -5.86, 22.85, 47 },
new double[] { 0.92, 0.01, 0.44, -0.43, -7.57, -0.67, -8.2, -6.45, 22.56, 48 },
new double[] { 0.93, 0.03, 0.42, -0.92, -4.82, -1.16, -8.2, -5.27, 23.73, 55 },
new double[] { 0.93, 0.01, 0.43, -0.61, 1.4, -1.22, -7.91, -4.98, 24.32, 53 },
new double[] { 0.93, 0.01, 0.44, -1.22, 0.92, -1.53, -8.5, -5.86, 23.14, 38 },
new double[] { 0.93, 0.01, 0.43, -1.83, -0.67, -1.53, -8.2, -4.39, 22.85, 46 },
new double[] { 0.93, 0.01, 0.43, 0.37, 1.28, -0.79, -8.79, -5.86, 23.44, 42 },
new double[] { 0.93, 0.01, 0.43, 0.31, -0.73, -0.85, -9.08, -5.27, 23.73, 61 },
new double[] { 0.94, 0.01, 0.42, 0.37, -0.06, -0.85, -8.35, -6.88, 23.58, 51 },
new double[] { 0.93, 0.01, 0.42, 0, 2.69, -0.85, -9.08, -4.98, 22.85, 37 },
new double[] { 0.93, 0.01, 0.45, 0.49, 0.55, -0.61, -7.32, -6.15, 22.27, 52 },
new double[] { 0.93, 0.01, 0.43, 0.31, 0.49, -0.79, -8.5, -5.57, 23.44, 47 },
new double[] { 0.93, 0.01, 0.44, 0.37, 1.71, -0.85, -7.47, -5.42, 22.41, 48 },
new double[] { 0.93, 0.01, 0.43, 0, -0.85, -0.98, -8.06, -6.01, 23, 51 },
new double[] { 0.93, 0.01, 0.43, -2.2, 5.43, -1.89, -8.79, -5.57, 22.85, 55 },
new double[] { 0.93, 0.01, 0.43, 0, -1.59, -0.73, -6.45, -4.39, 22.56, 43 },
new double[] { 0.93, 0.01, 0.43, 0.37, 2.2, -0.92, -8.64, -5.71, 23.58, 47 },
new double[] { 0.93, 0.01, 0.43, 0.24, 0.43, -0.79, -7.76, -5.13, 23, 48 },
new double[] { 0.93, 0.01, 0.44, 0.12, 2.75, -0.92, -8.5, -3.52, 22.85, 53 },
